"Commuting duration by main mode of commuting and time arriving at work: Canada, provinces and territories, census divisions and census subdivisions of work",Unnamed: 1,Unnamed: 3,Unnamed: 5,Unnamed: 7,Unnamed: 9,Unnamed: 11,Unnamed: 13,Unnamed: 15,Unnamed: 17,Unnamed: 19,Unnamed: 21,Unnamed: 23,Unnamed: 25,Unnamed: 27,Unnamed: 29,Unnamed: 31,Unnamed: 33,Unnamed: 35,Unnamed: 37,Unnamed: 39,Unnamed: 41,Unnamed: 43,Unnamed: 45,Unnamed: 47,Unnamed: 49,Unnamed: 51,Unnamed: 53,Unnamed: 55,Unnamed: 57,Unnamed: 59,Unnamed: 61,Unnamed: 63,Unnamed: 65,Unnamed: 67,Unnamed: 69,Unnamed: 71,Unnamed: 73,Unnamed: 75,Unnamed: 77,Unnamed: 79,Unnamed: 81,Unnamed: 83,Unnamed: 85,Unnamed: 87,Unnamed: 89,Unnamed: 91,Unnamed: 93,Unnamed: 95,Unnamed: 97,Unnamed: 99,Unnamed: 101,Unnamed: 103,Unnamed: 105,Unnamed: 107,Unnamed: 109,Unnamed: 111,Unnamed: 113,Unnamed: 115,Unnamed: 117,Unnamed: 119,Unnamed: 121,Unnamed: 123,Unnamed: 125,Unnamed: 127,Unnamed: 129,Unnamed: 131,Unnamed: 133,Unnamed: 135,Unnamed: 137,Unnamed: 139,Unnamed: 141,Unnamed: 143
Madawaska i827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haut-Madawaska i828,615,330,160,80,40,18.3,15,0,30,0,0,21.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,15,0,25,0,0,20.4,15,0,25,0,0,20.4,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,
Lac Baker i829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restigouche i830,"4,755","2,860",660,170,170,14.6,335,50,30,10,0,8.7,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,325,50,30,10,0,8.7,310,50,30,10,0,8.8,15,0,0,0,0,7.2,25,0,10,0,0,12,60,30,0,0,0,12.5
Durham i831,25,0,0,0,0,17,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Colborne i832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlo i833,125,105,10,10,0,16.8,30,0,0,0,0,3.3,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,30,0,0,0,0,3.3,25,0,0,0,0,3.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Balmoral i834,15,0,15,0,0,17.5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Balmoral i835,190,90,15,0,10,14.3,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Dalhousie i836,20,0,0,0,0,9.6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Eel River 3 i837,85,15,0,0,0,9.7,10,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,3.2,10,0,0,0,0,3.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Eel River Crossing i838,105,50,10,0,0,11.9,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Addington i839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atholville i840,710,470,85,20,30,15,35,15,10,0,0,14.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,35,15,10,0,0,14.2,35,15,10,0,0,14.2,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,
Campbellton i841,"1,650","1,205",180,25,60,14.3,110,30,15,10,0,11.9,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,110,30,15,10,0,11.9,110,30,15,10,0,12,0,0,0,0,0,,0,0,0,0,0,,25,10,0,0,0,10.8
Tide Head i842,30,20,0,0,0,15.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Eldon i843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalhousie i844,505,295,130,50,10,16.1,40,0,0,0,0,5.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,40,0,0,0,0,5.8,40,0,0,0,0,5.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Kedgwick i845,290,110,0,15,10,10.8,15,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,15,0,0,0,0,,15,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Saint-Quentin i846,295,75,45,0,10,13.3,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Saint-Quentin i847,590,170,30,10,15,10.7,35,0,0,0,0,5.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,35,0,0,0,0,5.4,35,0,0,0,0,5.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Belledune i848,100,225,105,25,10,22.4,10,0,0,0,0,5.6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,5.6,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,
Indian Ranch i849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloucester i850,"10,640","6,650","2,080",575,500,16,550,95,55,10,0,9,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,550,95,50,10,0,8.9,525,90,45,10,0,8.7,20,10,0,0,0,12,30,20,0,0,0,10.6,180,35,0,0,0,7.8
Tracadie i851,"2,280","1,050",390,90,55,14.2,95,0,0,0,0,5.5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,95,0,0,0,0,4.4,90,0,0,0,0,4.4,0,0,0,0,0,,0,0,0,0,0,,20,0,0,0,0,5
Allardville i852,60,35,30,10,0,18.8,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Bathurst i853,135,110,80,40,40,27,10,0,0,0,0,4.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,4.8,10,0,0,0,0,4.8,0,0,0,0,0,,0,0,0,0,0,,25,10,0,0,0,6
Pabineau 11 i854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathurst i855,"3,315","2,370",500,175,225,16.4,150,50,30,10,0,12.6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,145,50,30,10,0,12.7,140,40,30,10,0,12.7,0,10,0,0,0,13,10,0,0,0,0,,70,0,0,0,0,7.5
Beresford i856,195,145,25,0,0,12.7,15,0,0,0,0,9,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,15,0,0,0,0,9,15,0,0,0,0,9,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Pointe-Verte i857,45,15,0,0,0,11.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Petit-Rocher i858,325,125,10,0,0,10.4,20,0,0,0,0,6.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,20,0,0,0,0,6.2,20,0,0,0,0,6.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Beresford i859,445,210,10,10,10,11.7,15,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,15,0,0,0,0,,15,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
New Bandon i860,30,10,0,0,0,14.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Saint-Léolin i861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paquetville i862,40,0,0,0,0,13.6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Paquetville i863,220,95,40,0,0,13.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Saint-Isidore i864,20,30,15,10,0,22,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Saint-Isidore i865,95,95,30,0,0,15.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Inkerman i866,215,300,85,0,20,18.5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Caraquet i867,40,60,70,10,0,22.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Bas-Caraquet i868,190,100,90,30,25,20.4,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Caraquet i869,"1,055",940,410,55,40,17.7,70,20,0,0,0,8.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,70,20,0,0,0,8.4,70,20,0,0,0,8.4,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,
Shippagan i870,335,170,35,15,15,14.5,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,
Le Goulet i871,75,25,0,0,0,9.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Shippagan i872,725,365,175,20,35,16.7,50,15,15,0,0,12.7,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,50,15,15,0,0,12.7,50,15,10,0,0,11.6,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,
Lamèque i873,455,195,30,40,10,13.9,25,0,0,0,0,2.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,25,0,0,0,0,2.8,25,0,0,0,0,2.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Sainte-Marie-Saint-Raphaël i874,140,65,15,15,0,15,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Bertrand i875,45,30,0,0,0,12.8,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Nigadoo i876,65,50,0,0,0,14.9,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,1
Grande-Anse i877,65,50,30,25,0,20.5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Maisonnette i878,20,0,0,0,0,6.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Communauté maritime des Îles-de-la-Madeleine i879,"2,995",830,175,60,35,11,90,10,10,0,0,8.8,20,0,10,0,0,14.4,20,0,10,0,0,14.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,75,10,0,0,0,7,65,10,0,0,0,6.9,10,0,0,0,0,,30,0,0,0,0,7.8,30,10,0,0,0,4.8
Les Îles-de-la-Madeleine i880,"2,890",795,100,45,30,10.4,80,10,10,0,0,9,20,0,10,0,0,14.4,20,0,10,0,0,14.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,65,10,0,0,0,7.1,60,10,0,0,0,7,10,0,0,0,0,,30,0,0,0,0,7.8,30,10,0,0,0,4.8
Grosse-Île i881,100,40,75,15,0,21.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Le Rocher-Percé i882,"2,615","1,305",385,165,50,14.2,160,25,15,0,10,8.2,0,0,15,0,10,38,0,0,15,0,10,38,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,160,25,0,0,0,5.3,160,25,0,0,0,5.3,0,0,0,0,0,,40,0,0,0,0,4.1,30,25,0,0,0,15.2
Percé i883,160,145,70,10,10,17.5,15,0,0,0,0,6.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,15,0,0,0,0,6.4,15,0,0,0,0,6.4,0,0,0,0,0,,0,0,0,0,0,,0,10,0,0,0,
Sainte-Thérèse-de-Gaspé i884,250,165,65,55,0,17.4,20,0,0,0,10,14,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,20,0,0,0,0,2,15,0,0,0,0,1.5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Grande-Rivière i885,525,240,55,25,0,12.4,30,10,0,0,0,8.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,30,10,0,0,0,6.2,30,10,0,0,0,6.2,0,0,0,0,0,,10,0,0,0,0,,10,0,0,0,0,13.2
Chandler i886,"1,480",610,130,55,25,12.7,85,10,0,0,0,6.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,85,10,0,0,0,5.2,85,10,0,0,0,5.2,0,0,0,0,0,,20,0,0,0,0,4,20,10,0,0,0,12
Port-Daniel--Gascons i887,195,150,65,35,10,18.7,20,0,0,0,0,10.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,20,0,0,0,0,5.8,20,0,0,0,0,5.8,0,0,0,0,0,,15,0,0,0,0,,0,0,0,0,0,
Mont-Alexandre i888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Côte-de-Gaspé i889,"3,260","1,260",615,135,160,15.2,300,50,10,0,0,8.7,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,295,45,10,0,0,8.3,295,35,0,0,0,7.9,0,10,0,0,0,18,20,0,10,0,0,13.2,45,0,0,0,15,20.4
Gaspé i890,"2,830","1,180",585,110,130,15.6,185,45,10,0,0,10.6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,185,40,10,0,0,10,185,35,0,0,0,9.6,0,0,0,0,0,,20,0,10,0,0,13.2,35,0,0,0,15,24
Cloridorme i891,70,10,0,0,0,11.9,25,0,0,0,0,1.7,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,25,0,0,0,0,1.7,25,0,0,0,0,1.7,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Petite-Vallée i892,30,0,0,0,0,3.9,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Grande-Vallée i893,190,60,20,10,15,13.7,45,0,0,0,0,5.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,40,0,0,0,0,6.1,40,0,0,0,0,6.1,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Murdochville i894,145,10,0,15,10,11.3,40,0,0,0,0,5.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,40,0,0,0,0,5.2,40,0,0,0,0,4.4,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,
Rivière-Saint-Jean i895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collines-du-Basque i896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Haute-Gaspésie i897,"1,820",490,150,65,50,12,140,40,20,0,0,10.1,10,10,0,0,0,8.5,10,10,0,0,0,8.5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,135,30,20,0,0,10.2,135,30,20,0,0,10.2,0,0,0,0,0,,0,0,0,0,0,,20,0,10,0,0,15.6
Sainte-Madeleine-de-la-Rivière-Madeleine i898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Maxime-du-Mont-Louis i899,95,25,25,0,0,12.1,25,10,0,0,0,10,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,25,10,0,0,0,10,25,10,0,0,0,10,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Mont-Saint-Pierre i900,30,0,10,0,0,13.4,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Rivière-à-Claude i901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsoui i902,20,0,10,0,0,21,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
La Martre i903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sainte-Anne-des-Monts i904,"1,435",330,85,50,35,11.4,75,25,10,0,0,10,10,10,0,0,0,8.5,10,10,0,0,0,8.5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,70,20,10,0,0,10.2,70,20,10,0,0,10.2,0,0,0,0,0,,0,0,0,0,0,,10,0,10,0,0,20
Cap-Chat i905,225,110,10,20,0,12.8,35,0,0,0,0,6.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,35,0,0,0,0,6.2,35,0,0,0,0,6.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Mont-Albert i906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coulée-des-Adolphe i907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure i908,"2,540","1,240",385,120,95,14.8,265,55,10,0,0,8,25,25,0,0,0,18.8,25,25,0,0,0,16.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,240,30,0,0,0,5.8,210,30,0,0,0,5.4,35,0,0,0,0,8.2,15,0,0,0,0,7.6,35,0,0,0,0,21.6
Shigawake i909,30,0,0,0,0,8.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Saint-Godefroi i910,10,10,0,0,0,9.5,15,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,15,0,0,0,0,,15,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Hope Town i911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope i912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paspébiac i913,535,150,95,20,30,15.6,40,25,0,0,0,11,15,10,0,0,0,16,15,10,0,0,0,11.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,30,15,0,0,0,7.9,30,15,0,0,0,7.9,0,0,0,0,0,,10,0,0,0,0,,20,0,0,0,0,7.2
New Carlisle i914,195,130,55,30,0,17.3,25,0,0,0,0,9.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,20,0,0,0,0,8.8,20,0,0,0,0,4.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Bonaventure i915,610,310,50,20,35,14.8,45,10,0,0,0,10.2,0,10,0,0,0,24,0,10,0,0,0,24,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,40,0,0,0,0,4.6,30,0,0,0,0,4.8,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Saint-Elzéar i916,35,30,35,15,0,22.4,15,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,15,0,0,0,0,,15,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Saint-Siméon i917,85,20,0,0,0,9.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Caplan i918,215,105,25,20,0,14,25,0,0,0,0,5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,25,0,0,0,0,5,20,0,0,0,0,4.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Saint-Alphonse i919,80,30,25,0,0,14.1,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
New Richmond i920,700,430,100,10,20,14.1,90,20,0,0,0,6.7,0,10,0,0,0,,0,10,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,90,10,0,0,0,5.4,65,10,0,0,0,5.6,20,0,0,0,0,4.8,0,0,0,0,0,,10,0,0,0,0,
Cascapédia--Saint-Jules i921,25,15,0,0,0,8.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Rivière-Bonaventure i922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
