Geography,Province or Territory Abbreviation,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021)
Alberton,Ont.,954,969,-1.5,116.6,8.2
Assabaska 3,Ont.,0,0,0,8.71,0
Atikokan,Ont.,"2,642","2,753",-4,313.64,8.4
Big Grassy River 35G,Ont.,251,235,6.8,33.73,7.4
Big Island Mainland 93,Ont.,5,10,-50,0.42,11.8
Chapple 3,Ont.,763,643,18.7,558.15,1.4
Couchiching 16A,Ont.,633,810,-21.9,65.47,9.7
Dawson,Ont.,399,468,-14.7,343.42,1.2
Emo,Ont.,"1,204","1,333",-9.7,202.28,6
Fort Frances,Ont.,"7,466","7,739",-3.5,25.55,292.2
La Vallee,Ont.,788,938,-16,237.12,3.3
Lake of the Woods 3,Ont.,308,230,33.9,746.24,0.4
Manitou Rapids 11,Ont.,300,283,6,22.73,13.2
Morley,Ont.,493,481,2.5,388.38,1.3
Neguaguon Lake 25D,Ont.,118,177,-33.3,62.7,1.9
Rainy Lake 17A,Ont.,234,211,10.9,14.22,16.5
Rainy Lake 17B,Ont.,5,5,0,9.81,0.5
Rainy Lake 18C,Ont.,125,115,8.7,17.93,7
Rainy Lake 26A,Ont.,158,157,0.6,24.12,6.6
Rainy River,Ont.,752,807,-6.8,3.12,241.4
"Rainy River, Unorganized 3",Ont.,"1,423","1,380",3.1,"12,163.33",0.1
Saug-A-Gaw-Sing 1,Ont.,136,98,38.8,0.68,200.9
Seine River 23A,Ont.,270,263,2.7,15.72,17.2
Sturgeon Falls 23 3,Ont.,10,5,100,26.43,0.4
Admaston/Bromley,Ont.,"2,995","2,935",2,519.59,5.8
Arnprior,Ont.,"9,629","8,795",9.5,13.04,738.5
Bonnechere Valley,Ont.,"3,898","3,674",6.1,588.36,6.6
"Brudenell, Lyndoch and Raglan",Ont.,"1,552","1,503",3.3,701.29,2.2
Deep River,Ont.,"4,175","4,109",1.6,50.27,83
Greater Madawaska,Ont.,"2,864","2,518",13.7,"1,018.15",2.8
"Head, Clara and Maria",Ont.,267,248,7.7,719.2,0.4
Horton,Ont.,"3,182","2,887",10.2,158.02,20.1
"Killaloe, Hagarty and Richards",Ont.,"2,410","2,420",-0.4,391.6,6.2
Laurentian Hills,Ont.,"2,885","2,961",-2.6,634.31,4.5
Laurentian Valley,Ont.,"9,450","9,387",0.7,539.08,17.5
Madawaska Valley,Ont.,"3,927","4,123",-4.8,665.83,5.9
McNab/Braeside,Ont.,"7,591","7,178",5.8,255.28,29.7
North Algona Wilberforce,Ont.,"3,111","2,915",6.7,369.23,8.4
Pembroke,Ont.,"14,364","13,882",3.5,14.32,"1,002.80"
Petawawa,Ont.,"18,160","17,187",5.7,164.7,110.3
Pikwakanagan (Golden Lake 39),Ont.,490,440,11.4,7.38,66.4
Renfrew,Ont.,"8,190","8,223",-0.4,12.81,639.3
Whitewater Region,Ont.,"7,225","7,009",3.1,535.48,13.5
Adjala-Tosorontio,Ont.,"10,989","10,975",0.1,371.53,29.6
Barrie,Ont.,"147,829","141,434",4.5,99.01,"1,493.10"
Bradford West Gwillimbury,Ont.,"42,880","35,325",21.4,200.68,213.7
Chippewas of Rama First Nation,Ont.,998,878,13.7,11.15,89.5
Christian Island 30,Ont.,679,614,10.6,51.91,13.1
Christian Island 30A,Ont.,30,42,-28.6,0.07,424.3
Clearview,Ont.,"14,814","14,151",4.7,556.37,26.6
Collingwood,Ont.,"24,811","21,793",13.8,33.15,748.3
Essa,Ont.,"22,970","21,083",9,279.92,82.1
Innisfil,Ont.,"43,326","36,566",18.5,262.39,165.1
Midland,Ont.,"17,817","16,864",5.7,35.33,504.3
New Tecumseth,Ont.,"43,948","34,242",28.3,273.87,160.5
Orillia,Ont.,"33,411","31,166",7.2,28.53,"1,171.10"
Oro-Medonte,Ont.,"23,017","21,036",9.4,585.42,39.3
Penetanguishene,Ont.,"10,077","8,962",12.4,25.42,396.4
Ramara,Ont.,"10,377","9,488",9.4,414.94,25
Severn 3,Ont.,"14,576","13,462",8.3,523.06,27.9
Springwater,Ont.,"21,701","19,059",13.9,535.85,40.5
Tay 3,Ont.,"11,091","10,033",10.5,137.86,80.5
Tiny,Ont.,"12,966","11,787",10,335.05,38.7
Wasaga Beach,Ont.,"24,862","20,675",20.3,57.42,433
Akwesasne (Part) 59 2 5,Ont.,0,"1,693",0,11.81,0
Cornwall,Ont.,"47,845","46,589",2.7,61.5,777.9
North Dundas,Ont.,"11,304","11,278",0.2,502.41,22.5
North Glengarry,Ont.,"10,144","10,109",0.3,643.4,15.8
North Stormont,Ont.,"7,400","6,873",7.7,515.46,14.4
South Dundas 3,Ont.,"11,044","10,852",1.8,521.54,21.2
South Glengarry,Ont.,"13,330","13,150",1.4,605.02,22
South Stormont,Ont.,"13,570","13,110",3.5,447.71,30.3
Baldwin 2,Ont.,579,605,-4.3,82.49,7
Chapleau,Ont.,"1,942","1,964",-1.1,13.2,147.1
Chapleau 74A,Ont.,17,21,-19,7.61,2.2
Chapleau 75,Ont.,0,0,0,1.17,0
Chapleau Cree Fox Lake 3,Ont.,62,47,31.9,9.25,6.7
Duck Lake 76B,Ont.,154,85,81.2,1.86,82.9
Espanola 2,Ont.,"5,185","5,048",2.7,81,64
French River / Rivière des Français,Ont.,"2,828","2,662",6.2,717.91,3.9
Killarney,Ont.,397,386,2.8,"1,469.40",0.3
Markstay-Warren,Ont.,"2,708","2,656",2,505.92,5.4
Mattagami 71,Ont.,210,190,10.5,46.43,4.5
Nairn and Hyman,Ont.,373,342,9.1,159.18,2.3
Point Grondine 3 3,Ont.,5,0,0,138.55,0
Sables-Spanish Rivers 2,Ont.,"3,237","3,188",1.5,801.04,4
St.-Charles,Ont.,"1,357","1,269",6.9,314.46,4.3
"Sudbury, Unorganized, North Part 2",Ont.,"2,902","2,697",7.6,"35,377.17",0.1
Whitefish Lake 6,Ont.,412,386,6.7,170.16,2.4
Aroland,Ont.,178,366,-51.4,3.34,53.3
Conmee,Ont.,798,819,-2.6,167.65,4.8
Dorion,Ont.,375,316,18.7,211.25,1.8
Fort William 52 3,Ont.,964,981,-1.7,58.5,16.5
Gillies,Ont.,441,474,-7,92.68,4.8
Ginoogaming First Nation,Ont.,200,210,-4.8,68.65,2.9
Greenstone 3,Ont.,"4,309","4,636",-7.1,"2,727.04",1.6
Gull River 55,Ont.,110,247,-55.5,39.77,2.8
Lac des Mille Lacs 22A1,Ont.,0,0,0,17.32,0
Lake Helen 53A,Ont.,240,293,-18.1,0.86,277.8
Lake Nipigon,Ont.,0,0,0,12.89,0
Long Lake 58,Ont.,410,385,6.5,2.75,149
Manitouwadge,Ont.,"1,974","1,937",1.9,352.17,5.6
Marathon,Ont.,"3,138","3,273",-4.1,167.03,18.8
Neebing 3,Ont.,"2,241","2,055",9.1,873.78,2.6
Nipigon,Ont.,"1,473","1,642",-10.3,107.94,13.6
O'Connor,Ont.,689,663,3.9,108.56,6.3
Ojibway Nation of Saugeen (Savant Lake),Ont.,88,90,-2.2,57.06,1.5
Oliver Paipoonge,Ont.,"6,035","5,922",1.9,350.51,17.2
Osnaburgh 63A,Ont.,233,232,0.4,47.48,4.9
Pays Plat 51,Ont.,100,89,12.4,2.03,49.3
Pic Mobert North,Ont.,138,197,-29.9,1.67,82.5
Pic Mobert South,Ont.,127,125,1.6,0.32,401.6
Pic River 50,Ont.,372,443,-16,4.03,92.3
Red Rock,Ont.,895,895,0,62.1,14.4
Red Rock 53 3,Ont.,0,5,-100,2.24,0
Rocky Bay 1,Ont.,154,184,-16.3,0.26,592.8
Sand Point First Nation 3,Ont.,5,0,0,10.71,0.5
Schreiber,Ont.,"1,039","1,059",-1.9,35.81,29
Shuniah,Ont.,"3,247","2,798",16,571.34,5.7
Terrace Bay,Ont.,"1,528","1,611",-5.2,151.5,10.1
Thunder Bay,Ont.,"108,843","107,909",0.9,327.77,332.1
"Thunder Bay, Unorganized 3",Ont.,"6,221","5,867",6,"96,255.92",0.1
Whitesand,Ont.,297,325,-8.6,2.56,116.2
Armstrong,Ont.,"1,199","1,166",2.8,90.16,13.3
Brethour 2,Ont.,105,124,-15.3,81.97,1.3
Casey,Ont.,341,368,-7.3,80.8,4.2
Chamberlain,Ont.,311,332,-6.3,110.81,2.8
Charlton and Dack,Ont.,686,686,0,92.74,7.4
Cobalt,Ont.,989,"1,128",-12.3,2.07,478.5
Coleman,Ont.,517,595,-13.1,177.95,2.9
Englehart,Ont.,"1,442","1,479",-2.5,2.92,494.2
Evanturel,Ont.,502,449,11.8,89.21,5.6
Gauthier,Ont.,151,138,9.4,87.98,1.7
Harley,Ont.,524,551,-4.9,92.34,5.7
Harris,Ont.,530,545,-2.8,49.81,10.6
Hilliard 2,Ont.,215,207,3.9,91.27,2.4
Hudson,Ont.,530,503,5.4,90.28,5.9
James,Ont.,348,420,-17.1,85.4,4.1
Kerns,Ont.,330,358,-7.8,90.66,3.6
Kirkland Lake,Ont.,"7,750","7,981",-2.9,261.29,29.7
Larder Lake,Ont.,745,730,2.1,227.62,3.3
Latchford,Ont.,355,313,13.4,152.26,2.3
Matachewan,Ont.,268,225,19.1,539.56,0.5
Matachewan 72,Ont.,66,61,8.2,33.09,2
McGarry,Ont.,579,609,-4.9,85.62,6.8
Temiskaming Shores,Ont.,"9,634","9,920",-2.9,176.67,54.5
Thornloe,Ont.,92,112,-17.9,6.59,14
"Timiskaming, Unorganized, East Part",Ont.,5,5,0,248.55,0
"Timiskaming, Unorganized, West Part",Ont.,"3,210","3,257",-1.4,"10,199.80",0.3
Toronto,Ont.,"2,794,356","2,731,571",2.3,631.1,"4,427.80"
Cambridge,Ont.,"138,479","129,920",6.6,112.99,"1,225.50"
Kitchener,Ont.,"256,885","233,222",10.1,136.81,"1,877.60"
North Dumfries,Ont.,"10,619","10,215",4,188.09,56.5
Waterloo,Ont.,"121,436","104,986",15.7,64.06,"1,895.80"
Wellesley,Ont.,"11,318","11,260",0.5,277.74,40.8
Wilmot,Ont.,"21,429","20,545",4.3,263.81,81.2
Woolwich,Ont.,"26,999","25,006",8,326.56,82.7
Centre Wellington,Ont.,"31,093","28,191",10.3,409.41,75.9
Erin,Ont.,"11,981","11,439",4.7,298.81,40.1
Guelph,Ont.,"143,740","131,794",9.1,87.43,"1,644.10"
Guelph/Eramosa,Ont.,"13,904","12,854",8.2,292.84,47.5
Mapleton,Ont.,"10,839","10,527",3,535.56,20.2
Minto,Ont.,"9,094","8,671",4.9,300.19,30.3
Puslinch,Ont.,"7,944","7,336",8.3,214.82,37
Wellington North,Ont.,"12,431","11,914",4.3,526.31,23.6
Aurora,Ont.,"62,057","55,445",11.9,50,"1,241.10"
Chippewas of Georgina Island First Nation,Ont.,231,261,-11.5,14.47,16
East Gwillimbury,Ont.,"34,637","23,991",44.4,244.91,141.4
Georgina,Ont.,"47,642","45,418",4.9,287.69,165.6
King,Ont.,"27,333","24,512",11.5,332.12,82.3
Markham,Ont.,"338,503","328,966",2.9,210.93,"1,604.80"
Newmarket,Ont.,"87,942","84,224",4.4,38.5,"2,284.10"
Richmond Hill,Ont.,"202,022","195,022",3.6,100.79,"2,004.40"
Vaughan,Ont.,"323,103","306,233",5.5,272.44,"1,185.90"
Whitchurch-Stouffville,Ont.,"49,864","45,837",8.8,206.42,241.6
Alexander,Man.,"3,854","3,333",15.6,"1,560.05",2.5
Buffalo Point 36 2,Man.,219,168,30.4,16.6,13.2
"Division No.  1, Unorganized",Man.,"1,380","1,023",34.9,"4,103.28",0.3
Lac du Bonnet,Man.,"3,563","3,121",14.2,"1,097.61",3.2
Lac du Bonnet,Man.,"1,064","1,089",-2.3,2.26,470.7
Pinawa,Man.,"1,558","1,504",3.6,126.51,12.3
Piney,Man.,"1,843","1,726",6.8,"2,430.32",0.8
Powerview-Pine Falls,Man.,"1,239","1,316",-5.9,4.82,257
Reynolds,Man.,"1,344","1,338",0.4,"3,559.65",0.4
Shoal Lake (Part) 40,Man.,0,0,0,21.35,0
Stuartburn,Man.,"1,731","1,648",5,"1,161.45",1.5
Victoria Beach,Man.,689,398,73.1,20.71,33.3
Whitemouth,Man.,"1,630","1,557",4.7,697.35,2.3
De Salaberry,Man.,"3,918","3,580",9.4,667.57,5.9
Emerson-Franklin,Man.,"2,437","2,537",-3.9,970.19,2.5
Hanover 3,Man.,"17,216","15,540",10.8,730.44,23.6
La Broquerie,Man.,"6,725","6,076",10.7,578.97,11.6
Niverville,Man.,"5,947","4,610",29,8.7,683.7
Ritchot,Man.,"7,469","6,679",11.8,332.23,22.5
Roseau Rapids 2A,Man.,100,114,-12.3,8.9,11.2
Roseau River 2,Man.,564,558,1.1,22.18,25.4
St-Pierre-Jolys,Man.,"1,305","1,170",11.5,2.61,500.5
Ste. Anne,Man.,"5,584","5,003",11.6,476.81,11.7
Ste. Anne,Man.,"2,891","2,114",36.8,4.14,699
Steinbach 3,Man.,"17,806","16,022",11.1,37.56,474.1
Taché,Man.,"11,916","11,568",3,580.64,20.5
Altona,Man.,"4,267","4,212",1.3,9.35,456.3
Carman,Man.,"3,114","3,164",-1.6,4.32,721.5
Dufferin,Man.,"2,543","2,435",4.4,916.11,2.8
Montcalm,Man.,"1,278","1,260",1.4,468.25,2.7
Morden,Man.,"9,929","8,668",14.5,16.29,609.6
Morris,Man.,"3,049","3,047",0.1,"1,035.32",2.9
Morris,Man.,"1,975","1,885",4.8,5.91,334.1
Rhineland,Man.,"5,819","5,945",-2.1,958.48,6.1
Roland,Man.,"1,145","1,129",1.4,484.47,2.4
Stanley 4,Man.,"8,981","8,969",0.1,835.18,10.8
Thompson,Man.,"1,518","1,422",6.8,531.24,2.9
Winkler 4,Man.,"13,745","12,660",8.6,20.73,663.1
Argyle,Man.,994,"1,025",-3,768.63,1.3
Cartwright-Roblin,Man.,"1,336","1,308",2.1,705.27,1.9
Lorne,Man.,"2,904","3,041",-4.5,923.03,3.1
Louise,Man.,"2,025","1,918",5.6,934.81,2.2
Pembina,Man.,"2,406","2,347",2.5,"1,130.57",2.1
Swan Lake 7 5,Man.,0,347,0,26.93,0
Boissevain-Morton,Man.,"2,309","2,353",-1.9,"1,102.38",2.1
Brenda-Waskada,Man.,650,674,-3.6,775.64,0.8
Deloraine-Winchester,Man.,"1,478","1,489",-0.7,728.13,2
Grassland,Man.,"1,583","1,561",1.4,"1,350.34",1.2
Killarney - Turtle Mountain,Man.,"3,520","3,429",2.7,930.02,3.8
Melita,Man.,"1,041","1,042",-0.1,3.19,326.4
Prairie Lakes,Man.,"1,625","1,453",11.8,"1,070.95",1.5
Two Borders,Man.,"1,120","1,175",-4.7,"2,321.73",0.5
Canupawakpa Dakota First Nation (Oak Lake 59),Man.,322,305,5.6,10.46,30.8
Pipestone,Man.,"1,422","1,458",-2.5,"1,149.86",1.2
Sifton,Man.,"1,239","1,256",-1.4,839.5,1.5
Sioux Valley Dakota Nation,Man.,"1,057","1,028",2.8,37.94,27.9
Virden,Man.,"3,118","3,322",-6.1,8.96,347.8
Wallace-Woodworth,Man.,"2,748","2,948",-6.8,"1,977.43",1.4
Brandon 3,Man.,"51,313","48,883",5,79.04,649.2
Carberry,Man.,"1,818","1,738",4.6,4.8,379.1
Cornwallis 3,Man.,"4,568","4,506",1.4,500.51,9.1
Elton 3,Man.,"1,276","1,273",0.2,576.14,2.2
Glenboro-South Cypress 3,Man.,"1,123","1,550",-27.5,"1,071.64",1
North Cypress-Langford,Man.,"3,011","2,745",9.7,"1,762.30",1.7
Oakland-Wawanesa,Man.,"1,758","1,690",4,578.82,3
Riverdale,Man.,"1,803","2,133",-15.5,576.02,3.1
Souris-Glenwood,Man.,"2,547","2,562",-0.6,579.69,4.4
Swan Lake 7A 3,Man.,0,15,-100,26.62,0
Waywayseecappo Highway 10 3,Man.,0,0,0,0.04,0
Whitehead 3,Man.,"1,679","1,651",1.7,577.6,2.9
Glenella-Lansdowne,Man.,"1,133","1,181",-4.1,"1,274.74",0.9
Norfolk-Treherne,Man.,"1,770","1,751",1.1,737.9,2.4
North Norfolk,Man.,"3,915","3,853",1.6,"1,158.26",3.4
Sandy Bay 5,Man.,"2,598","2,515",3.3,59.6,43.6
Victoria 2,Man.,"1,188","1,132",4.9,703.54,1.7
WestLake-Gladstone,Man.,"3,273","3,154",3.8,"1,909.82",1.7
Dakota Plains 6A,Man.,98,76,28.9,5.49,17.9
Dakota Tipi 1,Man.,226,156,44.9,0.37,604
Grey,Man.,"2,517","2,648",-4.9,968.9,2.6
Long Plain 3,Man.,5,0,0,1.16,4.3
Long Plain 6 3,Man.,"1,335","1,232",8.4,35.09,38
Portage la Prairie 3,Man.,"6,888","6,975",-1.2,"1,973.45",3.5
Portage la Prairie,Man.,"13,270","13,304",-0.3,24.72,536.8
Cartier,Man.,"3,344","3,368",-0.7,552.94,6
Macdonald,Man.,"8,120","7,162",13.4,"1,156.11",7
St. François Xavier,Man.,"1,449","1,411",2.7,205.14,7.1
Headingley,Man.,"4,331","3,579",21,107.53,40.3
Winnipeg,Man.,"749,607","705,244",6.3,461.78,"1,623.30"
Beausejour,Man.,"3,307","3,219",2.7,5.42,609.6
Brokenhead,Man.,"5,414","5,122",5.7,749.69,7.2
Springfield,Man.,"16,142","15,342",5.2,"1,096.17",14.7
Brokenhead 4,Man.,434,516,-15.9,54.95,7.9
Dunnottar,Man.,989,763,29.6,2.8,353.8
East St. Paul,Man.,"9,725","9,372",3.8,41.79,232.7
Selkirk,Man.,"10,504","10,278",2.2,24.47,429.3
St. Andrews,Man.,"11,723","11,913",-1.6,739.61,15.9
St. Clements,Man.,"11,586","10,876",6.5,711.17,16.3
West St. Paul,Man.,"6,682","5,368",24.5,87.49,76.4
Rockwood,Man.,"8,440","7,823",7.9,"1,184.89",7.1
Rosser,Man.,"1,270","1,372",-7.4,441.74,2.9
Stonewall,Man.,"5,046","4,809",4.9,5.96,846.4
Teulon,Man.,"1,196","1,201",-0.4,3.23,370.3
Woodlands,Man.,"3,797","3,416",11.2,"1,197.59",3.2
Birdtail Creek 57,Man.,452,411,10,27.88,16.2
Clanwilliam-Erickson 3,Man.,"1,012",860,17.7,358.05,2.8
Ellice-Archie,Man.,831,887,-6.3,"1,153.14",0.7
Gambler 63 (Part),Man.,15,5,200,2.53,5.9
Hamiota,Man.,"1,234","1,225",0.7,577.68,2.1
Harrison Park 3,Man.,"1,852","1,617",14.5,964.55,1.9
Keeseekoowenin 61,Man.,472,386,22.3,21.42,22
Minnedosa,Man.,"2,741","2,449",11.9,14.95,183.4
Minto-Odanah,Man.,"1,121","1,189",-5.7,746.31,1.5
Neepawa,Man.,"5,685","4,609",23.3,17.09,332.7
Oakview,Man.,"1,928","1,626",18.6,"1,141.98",1.7
Prairie View,Man.,"2,161","2,088",3.5,"1,694.69",1.3
Rolling River 67 3,Man.,379,361,5,63.07,6
Rolling River 67B,Man.,56,46,21.7,3.32,16.9
Rosedale,Man.,"1,524","1,672",-8.9,864.68,1.8
Yellowhead,Man.,"1,841","1,948",-5.5,"1,093.17",1.7
Gambler 63 (Part),Man.,76,78,-2.6,2.05,37
Hillsburg-Roblin-Shell River,Man.,"3,089","3,214",-3.9,"1,694.95",1.8
Riding Mountain West,Man.,"1,442","1,420",1.5,"1,624.99",0.9
Rossburn,Man.,973,976,-0.3,672.29,1.4
Russell-Binscarth,Man.,"2,596","2,442",6.3,569.7,4.6
Valley River 63A,Man.,360,353,2,46.2,7.8
Waywayseecappo First Nation,Man.,"1,409","1,365",3.2,96.64,14.6
Alonsa,Man.,"1,210","1,247",-3,"3,006.17",0.4
Dauphin 2,Man.,"2,136","2,298",-7,"1,512.79",1.4
Dauphin 2,Man.,"8,368","8,369",0,12.67,660.5
"Division No. 17, Unorganized",Man.,212,101,109.9,"2,147.09",0.1
Ebb and Flow 52,Man.,"1,608","1,341",19.9,45.69,35.2
Ethelbert,Man.,648,607,6.8,"1,134.59",0.6
Gilbert Plains,Man.,"1,420","1,470",-3.4,"1,050.15",1.4
Grandview,Man.,"1,419","1,482",-4.3,"1,147.99",1.2
Lakeshore,Man.,"1,186","1,363",-13,"1,295.64",0.9
McCreary,Man.,748,892,-16.1,527.77,1.4
Mossey River,Man.,"1,450","1,145",26.6,"1,119.96",1.3
Ste. Rose,Man.,"1,591","1,712",-7.1,630.04,2.5
Arborg,Man.,"1,279","1,232",3.8,2.22,576.6
Armstrong,Man.,"1,967","1,792",9.8,"1,868.24",1.1
Bifrost-Riverton,Man.,"3,320","3,378",-1.7,"1,643.14",2
Coldwell,Man.,"1,313","1,254",4.7,891.85,1.5
"Division No. 18, Unorganized, East Part",Man.,229,156,46.8,478.47,0.5
"Division No. 18, Unorganized, West Part",Man.,0,0,0,15.27,0
Dog Creek 46,Man.,899,874,2.9,54.48,16.5
Fairford 50,Man.,"1,144","1,169",-2.1,77.08,14.8
Fisher 2,Man.,"1,845","1,827",1,"1,486.17",1.2
Gimli,Man.,"6,569","6,181",6.3,318.1,20.7
Grahamdale 3,Man.,"1,278","1,334",-4.2,"2,365.94",0.5
Little Saskatchewan 48 3,Man.,627,313,100.3,29.12,21.5
Obushkudayang 3,Man.,957,0,0,4.58,208.9
St. Laurent,Man.,"1,542","1,338",15.2,480.15,3.2
West Interlake,Man.,"2,228","2,162",3.1,"1,643.72",1.4
Winnipeg Beach,Man.,"1,439","1,145",25.7,3.91,367.7
Berens River 13 2,Man.,"1,161","1,039",11.7,26.15,44.4
Black River 9,Man.,498,698,-28.7,9.23,53.9
Bloodvein 12,Man.,640,687,-6.8,15.73,40.7
Chemawawin 3,Man.,27,15,80,47.98,0.6
Crane River 51,Man.,438,444,-1.4,35.97,12.2
Dauphin River 48A,Man.,213,0,0,3.4,62.6
"Division No. 19, Unorganized 2",Man.,"2,839","2,900",-2.1,"59,723.04",0
Fisher River 44,Man.,"1,449","1,473",-1.6,55.17,26.3
Fisher River 44A,Man.,44,58,-24.1,7.59,5.8
Fort Alexander 3,Man.,"2,127","1,929",10.3,87.95,24.2
Hole or Hollow Water 10,Man.,530,582,-8.9,16.39,32.3
Jackhead 43,Man.,267,207,29,12.11,22.1
Little Grand Rapids 14 5,Man.,0,810,0,22.6,0
Pauingassi First Nation 2 5,Man.,0,307,0,2.56,0
Peguis 1B,Man.,"3,053","2,704",12.9,310.31,9.8
Pine Creek 66A 2,Man.,700,631,10.9,77.9,9
Poplar River 16 5,Man.,0,866,0,18.05,0
Shoal River 65B 3,Man.,95,0,0,9.25,10.3
Shoal River Indian Reserve 65A,Man.,759,810,-6.3,3.75,202.6
Swan Lake 65C,Man.,10,23,-56.5,7.69,1.3
The Narrows 49,Man.,55,5,"1,000.00",24.09,2.3
Waterhen 45,Man.,476,373,27.6,19.54,24.4
"Division No. 20, Unorganized, North Part 3",Man.,25,25,0,"1,744.71",0
"Division No. 20, Unorganized, South Part",Man.,95,82,15.9,"2,553.98",0
Minitonas-Bowsman,Man.,"1,587","1,653",-4,"1,199.17",1.3
Mountain (North),Man.,537,559,-3.9,988.01,0.5
Mountain (South),Man.,443,419,5.7,"1,615.42",0.3
Swan River,Man.,"4,049","4,014",0.9,6.81,595
Swan Valley West,Man.,"2,759","2,829",-2.5,"1,716.84",1.6
Wuskwi Sipihk First Nation 2 3,Man.,139,40,247.5,0.84,165.3
Chemawawin 2,Man.,"1,264","1,252",1,2.51,503.4
"Division No. 21, Unorganized 2",Man.,"1,712","1,857",-7.8,"40,578.97",0
Flin Flon (Part) 2,Man.,"4,940","4,991",-1,13.14,376.1
Grand Rapids,Man.,213,268,-20.5,74.27,2.9
Grand Rapids 33,Man.,947,868,9.1,18.91,50.1
Kelsey 3,Man.,"2,181","2,419",-9.8,850.41,2.6
Moose Lake 31A,Man.,837,"1,124",-25.5,3.87,216.5
Moose Lake 31D 3,Man.,155,0,0,0.45,341.3
Moose Lake 31G 3,Man.,0,0,0,10.9,0
Opaskwayak Cree Nation 21A,Man.,243,210,15.7,5.72,42.5
Opaskwayak Cree Nation 21B,Man.,278,39,612.8,0.98,284.9
Opaskwayak Cree Nation 21C,Man.,40,18,122.2,1.26,31.8
Opaskwayak Cree Nation 21D 3,Man.,0,0,0,0.73,0
Opaskwayak Cree Nation 21E,Man.,"2,210","2,473",-10.6,24.73,89.4
Opaskwayak Cree Nation 21I,Man.,119,294,-59.5,1.83,65
Opaskwayak Cree Nation 21N 3,Man.,5,5,0,1.18,4.2
Snow Lake,Man.,"1,088",899,21,"1,166.64",0.9
The Pas,Man.,"5,639","5,369",5,44.69,126.2
Cross Lake 19,Man.,"1,865","1,607",16.1,23.18,80.5
Cross Lake 19A,Man.,"2,045","1,922",6.4,6.05,338.1
Cross Lake 19E 3,Man.,763,846,-9.8,7.32,104.2
"Division No. 22, Unorganized 2",Man.,"2,162","2,700",-19.9,"85,723.96",0
Garden Hill First Nation 2,Man.,"3,054","2,603",17.3,83.05,36.8
God's Lake 23 2,Man.,"1,520","1,211",25.5,36.66,41.5
God's River 86A 3,Man.,809,628,28.8,2.35,344.2
Ilford 2,Man.,62,31,100,14.09,4.4
Mooseocoot 2,Man.,60,70,-14.3,0.06,925.9
Mooseocoot 4 3,Man.,0,5,-100,0.05,0
Mystery Lake,Man.,0,0,0,"3,351.37",0
Nelson House 170 3,Man.,"2,397","2,500",-4.1,17.25,138.9
Norway House 17 3,Man.,"5,390","4,807",12.1,82.12,65.6
Oxford House 24 3 5,Man.,0,"1,955",0,49.32,0
Red Sucker Lake 1976 2,Man.,725,757,-4.2,2.34,309.2
Red Sucker Lake 1976A 3,Man.,147,112,31.3,17.64,8.3
Split Lake 171,Man.,"2,232","2,044",9.2,130.23,17.1
St. Theresa Point,Man.,"3,417","3,262",4.8,147.93,23.1
Thompson,Man.,"13,035","13,678",-4.7,16.62,784.3
Wasagamack,Man.,"2,088","1,403",48.8,77.9,26.8
York Landing,Man.,455,443,2.7,13.32,34.2
A Kwis Ki Mahka 3,Man.,58,64,-9.4,0.02,"2,566.40"
Black Sturgeon,Man.,149,0,0,23.84,6.3
Brochet 197 2 5,Man.,0,506,0,37.08,0
Churchill,Man.,870,899,-3.2,50.83,17.1
Churchill 1 5,Man.,0,324,0,2.09,0
"Division No. 23, Unorganized 2",Man.,74,283,-73.9,"229,309.25",0
Fox Lake 2,Man.,126,156,-19.2,0.41,307.8
Gillam 3,Man.,"1,007","1,201",-16.2,"1,994.44",0.5
Granville Lake 5,Man.,0,10,0,2.54,0
Lac Brochet 197A,Man.,641,728,-12,4.49,142.9
Leaf Rapids,Man.,351,582,-39.7,"1,237.66",0.3
Lynn Lake,Man.,579,494,17.2,867.53,0.7
O-Pipon-Na-Piwin Cree Nation 1 3,Man.,257,40,542.5,0.02,"15,207.10"
Pukatawagan 198 2 5,Man.,0,"1,844",0,15.51,0
Shamattawa 1 5,Man.,0,"1,019",0,22.4,0
South Indian Lake 3,Man.,578,941,-38.6,10.54,54.8
Alameda,Sask.,345,369,-6.5,2.53,136.6
Alida,Sask.,103,120,-14.2,0.38,272
Antler No. 61,Sask.,451,523,-13.8,804.28,0.6
Arcola,Sask.,636,657,-3.2,3.46,183.8
Argyle No. 1,Sask.,331,290,14.1,567.05,0.6
Benson No. 35,Sask.,450,472,-4.7,808.53,0.6
Bienfait,Sask.,668,762,-12.3,3.05,218.7
Brock No. 64,Sask.,252,267,-5.6,784.64,0.3
Browning No. 34,Sask.,355,375,-5.3,797,0.4
Carievale,Sask.,85,240,-64.6,1.51,56.1
Carlyle,Sask.,"1,524","1,508",1.1,5.41,281.9
Carnduff,Sask.,"1,150","1,099",4.6,2.61,441
Coalfields No. 4,Sask.,330,368,-10.3,818.16,0.4
Enniskillen No. 3,Sask.,422,459,-8.1,820.04,0.5
Estevan,Sask.,"10,851","11,483",-5.5,18.3,592.9
Estevan No. 5,Sask.,"1,279","1,370",-6.6,772,1.7
