Geography,Province or Territory Abbreviation,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021)
Lac-de-la-Pomme,Que.,0,0,0,50.27,0
Lac-des-Écorces,Que.,"2,885","2,734",5.5,144.3,20
Lac-du-Cerf,Que.,445,435,2.3,71.73,6.2
Mont-Laurier,Que.,"14,180","14,116",0.5,587.42,24.1
Mont-Saint-Michel 2,Que.,581,576,0.9,138.16,4.2
Nominingue,Que.,"2,255","2,137",5.5,303.89,7.4
Notre-Dame-de-Pontmain,Que.,790,782,1,259.9,3
Notre-Dame-du-Laus,Que.,"1,730","1,558",11,849.1,2
Rivière-Rouge,Que.,"4,631","4,322",7.1,451.43,10.3
Saint-Aimé-du-Lac-des-Îles,Que.,815,790,3.2,161.61,5
Sainte-Anne-du-Lac,Que.,556,575,-3.3,320.73,1.7
Brownsburg-Chatham,Que.,"7,247","7,122",1.8,244.46,29.6
Gore,Que.,"2,283","1,904",19.9,90.04,25.4
Grenville,Que.,"1,816","1,711",6.1,2.82,644.6
Grenville-sur-la-Rouge,Que.,"2,883","2,824",2.1,313.61,9.2
Harrington,Que.,967,846,14.3,233.65,4.1
Lachute 4,Que.,"14,100","12,862",9.6,108.66,129.8
Mille-Isles,Que.,"1,721","1,567",9.8,58.73,29.3
Saint-André-d'Argenteuil 4,Que.,"3,053","3,020",1.1,97.69,31.3
Wentworth,Que.,682,533,28,85.03,8
Chesterville,Que.,877,922,-4.9,116.72,7.5
Daveluyville 3,Que.,"2,360","2,255",4.7,61.71,38.2
Ham-Nord,Que.,857,869,-1.4,103.98,8.2
Kingsey Falls,Que.,"1,986","1,947",2,69.36,28.6
Maddington Falls,Que.,428,413,3.6,23.82,18
Notre-Dame-de-Ham,Que.,414,411,0.7,31.05,13.3
Saint-Albert,Que.,"1,640","1,601",2.4,69.43,23.6
Saint-Christophe-d'Arthabaska,Que.,"3,111","3,021",3,68.96,45.1
Saint-Louis-de-Blandford,Que.,"1,076","1,011",6.4,104.36,10.3
Saint-Norbert-d'Arthabaska,Que.,"1,247","1,157",7.8,102.98,12.1
Saint-Rosaire,Que.,932,843,10.6,109.53,8.5
Saint-Rémi-de-Tingwick,Que.,446,458,-2.6,72.97,6.1
Saint-Samuel,Que.,765,744,2.8,43.21,17.7
Saint-Valère,Que.,"1,188","1,263",-5.9,108.1,11
Sainte-Clotilde-de-Horton,Que.,"1,563","1,569",-0.4,114.66,13.6
Sainte-Hélène-de-Chester,Que.,384,374,2.7,83.72,4.6
Sainte-Séraphine,Que.,441,355,24.2,75.86,5.8
Sainte-Élizabeth-de-Warwick,Que.,383,372,3,51.87,7.4
Saints-Martyrs-Canadiens,Que.,277,254,9.1,111.4,2.5
