Population and dwelling counts: Canada and census subdivisions (municipalities) 1,,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0002-01,,,,,,,
Release date: 2022-02-09,,,,,,,
"Geography: Canada, Province or territory, Census division, Census subdivision",,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,
Variable List: Population and dwelling counts (13),,,,,,,
,,,,,,,
,,Population and dwelling counts (13),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Geographic name,Geographic area type abbreviation,Province or territory abbreviation,"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Saint-Pierre-les-Becquets,MÉ,Que.,"1,183","1,137",4,48.14,24.6
Saint-Sylvère,MÉ,Que.,786,791,-0.6,86.3,9.1
Sainte-Cécile-de-Lévrard,PE,Que.,349,372,-6.2,32.32,10.8
Sainte-Françoise,MÉ,Que.,467,449,4,87.02,5.4
Sainte-Marie-de-Blandford,MÉ,Que.,443,468,-5.3,69.3,6.4
Sainte-Sophie-de-Lévrard,PE,Que.,704,729,-3.4,84.05,8.4
Wôlinak,IRI,Que.,194,202,-4,0.74,262.8
Baie-Saint-Paul,V,Que.,"7,371","7,146",3.1,545.85,13.5
L'Isle-aux-Coudres,MÉ,Que.,"1,116","1,143",-2.4,29.46,37.9
Lac-Pikauba 2,NO,Que.,0,0,...,"2,440.54",0
Les Éboulements,MÉ,Que.,"1,465","1,331",10.1,156.19,9.4
Petite-Rivière-Saint-François,MÉ,Que.,953,814,17.1,133.89,7.1
Saint-Hilarion,PE,Que.,"1,146","1,127",1.7,100.3,11.4
Saint-Urbain,PE,Que.,"1,320","1,373",-3.9,330.57,4
Baie-Sainte-Catherine,MÉ,Que.,184,206,-10.7,232.89,0.8
Clermont,V,Que.,"3,065","3,085",-0.6,51.53,59.5
La Malbaie,V,Que.,"8,235","8,271",-0.4,458.19,18
Mont-Élie,NO,Que.,51,63,-19,851.18,0.1
Notre-Dame-des-Monts,MÉ,Que.,789,791,-0.3,57.93,13.6
Sagard,NO,Que.,110,130,-15.4,204.59,0.5
Saint-Aimé-des-Lacs,MÉ,Que.,"1,158","1,095",5.8,91.61,12.6
Saint-Irénée,PE,Que.,678,641,5.8,59.92,11.3
Saint-Siméon,MÉ,Que.,"1,139","1,227",-7.2,281.14,4.1
Barnston-Ouest 2,MÉ,Que.,546,559,-2.3,99.36,5.5
Coaticook 2,V,Que.,"8,867","8,955",-1,219.45,40.4
Compton,MÉ,Que.,"3,270","3,131",4.4,206.58,15.8
Dixville,MÉ,Que.,732,696,5.2,76.56,9.6
East Hereford,MÉ,Que.,282,269,4.8,72.1,3.9
Martinville,MÉ,Que.,441,436,1.1,47.66,9.3
Saint-Herménégilde,MÉ,Que.,690,670,3,166.15,4.2
Saint-Malo,MÉ,Que.,514,475,8.2,131.83,3.9
Saint-Venant-de-Paquette,MÉ,Que.,69,97,-28.9,58.75,1.2
Sainte-Edwidge-de-Clifton,CT,Que.,546,504,8.3,101.84,5.4
Stanstead-Est,MÉ,Que.,642,584,9.9,114.54,5.6
Waterville,V,Que.,"2,307","2,121",8.8,44.03,52.4
Grosse-Île,MÉ,Que.,464,465,-0.2,32.28,14.4
Les Îles-de-la-Madeleine,MÉ,Que.,"12,190","12,010",1.5,155.06,78.6
Berthierville,V,Que.,"4,386","4,189",4.7,6.77,647.8
La Visitation-de-l'Île-Dupas,MÉ,Que.,684,626,9.3,28.15,24.3
Lanoraie,MÉ,Que.,"5,134","4,787",7.2,102.74,50
Lavaltrie,V,Que.,"14,425","13,657",5.6,68.22,211.4
Mandeville,MÉ,Que.,"2,363","2,189",7.9,318.21,7.4
Saint-Barthélemy,PE,Que.,"2,087","1,934",7.9,105.36,19.8
Saint-Cléophas-de-Brandon,MÉ,Que.,254,227,11.9,15.34,16.6
Saint-Cuthbert,MÉ,Que.,"1,821","1,862",-2.2,131.72,13.8
Saint-Didace,PE,Que.,688,652,5.5,99.6,6.9
Saint-Gabriel 3,V,Que.,"2,803","2,640",6.2,2.81,998.6
Saint-Gabriel-de-Brandon 3,MÉ,Que.,"2,684","2,635",1.9,99.23,27
Saint-Ignace-de-Loyola,MÉ,Que.,"2,048","2,049",0,31.9,64.2
Saint-Norbert,PE,Que.,"1,060","1,003",5.7,74.6,14.2
Sainte-Geneviève-de-Berthier,MÉ,Que.,"2,253","2,280",-1.2,67.03,33.6
Sainte-Élisabeth,MÉ,Que.,"1,390","1,459",-4.7,83,16.7
Deux-Montagnes,V,Que.,"17,915","17,496",2.4,6.08,"2,947.80"
Kanesatake 5,S-É,Que.,..,..,..,11.86,..
Oka,MÉ,Que.,"3,968","3,824",3.8,56.99,69.6
Pointe-Calumet,MÉ,Que.,"6,281","6,428",-2.3,4.59,"1,367.70"
Saint-Eustache,V,Que.,"45,276","44,008",2.9,70.51,642.1
Saint-Joseph-du-Lac,MÉ,Que.,"7,031","6,687",5.1,41.22,170.6
Saint-Placide,MÉ,Que.,"1,784","1,686",5.8,42.89,41.6
Sainte-Marthe-sur-le-Lac,V,Que.,"19,797","18,074",9.5,8.73,"2,267.40"
Drummondville,V,Que.,"79,258","75,423",5.1,247.11,320.7
Durham-Sud,MÉ,Que.,"1,051","1,043",0.8,92.64,11.3
L'Avenir,MÉ,Que.,"1,350","1,307",3.3,97.59,13.8
Lefebvre,MÉ,Que.,925,904,2.3,66.18,14
Notre-Dame-du-Bon-Conseil,VL,Que.,"1,708","1,557",9.7,4.2,406.5
Notre-Dame-du-Bon-Conseil,PE,Que.,885,949,-6.7,87.49,10.1
Saint-Bonaventure,MÉ,Que.,"1,066","1,031",3.4,78.72,13.5
Saint-Cyrille-de-Wendover,MÉ,Que.,"4,920","4,723",4.2,110.2,44.6
Saint-Edmond-de-Grantham,PE,Que.,804,762,5.5,48.29,16.6
Saint-Eugène,MÉ,Que.,"1,139","1,126",1.2,75.84,15
Saint-Félix-de-Kingsey,MÉ,Que.,"1,493","1,430",4.4,126.28,11.8
Saint-Germain-de-Grantham,MÉ,Que.,"4,922","4,917",0.1,87.47,56.3
Saint-Guillaume,MÉ,Que.,"1,491","1,476",1,87.91,17
Saint-Lucien,MÉ,Que.,"1,801","1,647",9.4,110.99,16.2
Saint-Majorique-de-Grantham,PE,Que.,"1,384","1,388",-0.3,57.5,24.1
Saint-Pie-de-Guire,PE,Que.,446,450,-0.9,51.27,8.7
Sainte-Brigitte-des-Saults,PE,Que.,737,723,1.9,70.79,10.4
Wickham,MÉ,Que.,"2,587","2,541",1.8,98.63,26.2
Batiscan,MÉ,Que.,958,903,6.1,43.25,22.2
Champlain,MÉ,Que.,"1,807","1,735",4.1,58.17,31.1
Notre-Dame-du-Mont-Carmel,PE,Que.,"6,121","5,751",6.4,128.29,47.7
Saint-Luc-de-Vincennes,MÉ,Que.,519,545,-4.8,53.78,9.6
Saint-Maurice,PE,Que.,"3,432","3,286",4.4,91.36,37.6
Saint-Narcisse,PE,Que.,"1,801","1,832",-1.7,106.74,16.9
Saint-Prosper-de-Champlain,MÉ,Que.,482,530,-9.1,94.11,5.1
Saint-Stanislas,MÉ,Que.,"1,001","1,010",-0.9,89.38,11.2
Sainte-Anne-de-la-Pérade,MÉ,Que.,"2,031","2,019",0.6,109.28,18.6
Sainte-Geneviève-de-Batiscan,PE,Que.,"1,028","1,006",2.2,97.65,10.5
Trois-Rivières,V,Que.,"139,163","134,413",3.5,288.65,482.1
Gatineau,V,Que.,"291,041","276,245",5.4,341.84,851.4
Crabtree,MÉ,Que.,"4,155","3,958",5,25.06,165.8
Joliette,V,Que.,"21,384","20,484",4.4,22.96,931.2
Notre-Dame-de-Lourdes,MÉ,Que.,"3,141","2,783",12.9,35.59,88.2
Notre-Dame-des-Prairies,V,Que.,"9,471","9,273",2.1,18.1,523.2
Saint-Ambroise-de-Kildare,MÉ,Que.,"4,090","3,856",6.1,67.73,60.4
Saint-Charles-Borromée,V,Que.,"15,285","13,791",10.8,18.48,827
Saint-Paul,MÉ,Que.,"6,566","5,891",11.5,49.11,133.7
Saint-Pierre,VL,Que.,286,276,3.6,9.68,29.5
Saint-Thomas,MÉ,Que.,"3,496","3,249",7.6,94.57,37
Sainte-Mélanie,MÉ,Que.,"3,250","2,989",8.7,76.1,42.7
Kamouraska,MÉ,Que.,607,616,-1.5,44.07,13.8
La Pocatière,V,Que.,"4,078","4,120",-1,21.18,192.5
Mont-Carmel,MÉ,Que.,"1,160","1,127",2.9,428.26,2.7
Petit-Lac-Sainte-Anne,NO,Que.,0,0,...,186.42,0
Picard,NO,Que.,5,10,-50,568.1,0
Rivière-Ouelle,MÉ,Que.,995,970,2.6,57.5,17.3
Saint-Alexandre-de-Kamouraska,MÉ,Que.,"2,255","2,109",6.9,111.4,20.2
Saint-André-de-Kamouraska,MÉ,Que.,658,658,0,71.06,9.3
Saint-Bruno-de-Kamouraska,MÉ,Que.,515,541,-4.8,188.44,2.7
Saint-Denis-De La Bouteillerie,MÉ,Que.,518,517,0.2,33.84,15.3
Saint-Gabriel-Lalemant,MÉ,Que.,660,716,-7.8,77.92,8.5
Saint-Germain,PE,Que.,294,286,2.8,28.53,10.3
Saint-Joseph-de-Kamouraska,PE,Que.,398,391,1.8,84.96,4.7
Saint-Onésime-d'Ixworth,MÉ,Que.,522,560,-6.8,102.76,5.1
Saint-Pacôme,MÉ,Que.,"1,806","1,598",13,29.06,62.1
Saint-Pascal,V,Que.,"3,530","3,468",1.8,59.68,59.1
Saint-Philippe-de-Néri,PE,Que.,818,832,-1.7,32.65,25.1
Sainte-Anne-de-la-Pocatière,PE,Que.,"1,597","1,636",-2.4,54.78,29.2
Sainte-Hélène-de-Kamouraska,MÉ,Que.,891,918,-2.9,60.46,14.7
Charlemagne,V,Que.,"6,302","5,913",6.6,2.17,"2,906.20"
L'Assomption,V,Que.,"23,442","22,429",4.5,98.74,237.4
L'Épiphanie 3,V,Que.,"8,883","8,693",2.2,56.57,157
Repentigny,V,Que.,"86,100","84,285",2.2,61.52,"1,399.60"
Saint-Sulpice,PE,Que.,"3,360","3,439",-2.3,36.17,92.9
L'Islet,MÉ,Que.,"3,803","3,827",-0.6,119.95,31.7
Saint-Adalbert,MÉ,Que.,460,510,-9.8,216.16,2.1
Saint-Aubert,MÉ,Que.,"1,441","1,474",-2.2,98.45,14.6
Saint-Cyrille-de-Lessard,PE,Que.,742,718,3.3,230.52,3.2
Saint-Damase-de-L'Islet,MÉ,Que.,563,552,2,247.64,2.3
Saint-Jean-Port-Joli,MÉ,Que.,"3,329","3,407",-2.3,69.31,48
Saint-Marcel,MÉ,Que.,422,428,-1.4,178.83,2.4
Saint-Omer,MÉ,Que.,294,277,6.1,122.44,2.4
Saint-Pamphile,V,Que.,"2,274","2,400",-5.3,137.78,16.5
Saint-Roch-des-Aulnaies,MÉ,Que.,955,917,4.1,49.14,19.4
Sainte-Félicité,MÉ,Que.,350,389,-10,94.89,3.7
Sainte-Louise,PE,Que.,674,671,0.4,76.59,8.8
Sainte-Perpétue,MÉ,Que.,"1,715","1,639",4.6,291.04,5.9
Tourville,MÉ,Que.,576,589,-2.2,164.36,3.5
Inverness,MÉ,Que.,910,899,1.2,176.11,5.2
Laurierville,MÉ,Que.,"1,313","1,346",-2.5,107.91,12.2
Lyster,MÉ,Que.,"1,587","1,605",-1.1,167.55,9.5
Notre-Dame-de-Lourdes,PE,Que.,787,688,14.4,81.39,9.7
Plessisville 3,V,Que.,"6,414","6,551",-2.1,4.92,"1,304.20"
Plessisville 3,PE,Que.,"2,655","2,663",-0.3,141.19,18.8
Princeville,V,Que.,"6,218","6,001",3.6,195.01,31.9
Saint-Ferdinand,MÉ,Que.,"2,007","2,076",-3.3,137.16,14.6
Saint-Pierre-Baptiste,PE,Que.,560,527,6.3,81.77,6.8
Sainte-Sophie-d'Halifax,MÉ,Que.,595,612,-2.8,92.13,6.5
Villeroy,MÉ,Que.,488,457,6.8,101.9,4.8
Saint-François-de-l'Île-d'Orléans,MÉ,Que.,536,527,1.7,28.96,18.5
Saint-Jean-de-l'Île-d'Orléans,MÉ,Que.,"1,026","1,059",-3.1,43.48,23.6
Saint-Laurent-de-l'Île-d'Orléans,MÉ,Que.,"1,607","1,532",4.9,35.64,45.1
Saint-Pierre-de-l'Île-d'Orléans,MÉ,Que.,"1,743","1,993",-12.5,31.64,55.1
Sainte-Famille-de-l'Île-d'Orléans,MÉ,Que.,850,938,-9.4,50.54,16.8
Sainte-Pétronille,VL,Que.,"1,055","1,033",2.1,4.32,244.4
Beaupré,V,Que.,"4,117","3,752",9.7,22.97,179.2
Boischatel,MÉ,Que.,"8,231","7,587",8.5,20.36,404.3
Château-Richer,V,Que.,"4,425","4,126",7.2,228.84,19.3
L'Ange-Gardien,MÉ,Que.,"3,842","3,695",4,53.61,71.7
Lac-Jacques-Cartier,NO,Que.,0,0,...,"4,131.62",0
Saint-Ferréol-les-Neiges,MÉ,Que.,"3,806","3,240",17.5,83.18,45.8
Saint-Joachim,PE,Que.,"1,427","1,441",-1,42.33,33.7
Saint-Louis-de-Gonzague-du-Cap-Tourmente,PE,Que.,0,5,-100,0.42,0
Saint-Tite-des-Caps,MÉ,Que.,"1,504","1,473",2.1,129.3,11.6
Sainte-Anne-de-Beaupré,V,Que.,"2,888","2,880",0.3,62.38,46.3
Sault-au-Cochon,NO,Que.,0,0,...,70.18,0
Cloridorme,CT,Que.,607,671,-9.5,158.74,3.8
Collines-du-Basque,NO,Que.,0,0,...,817.84,0
Gaspé,V,Que.,"15,063","14,568",3.4,"1,118.77",13.5
Grande-Vallée,MÉ,Que.,"1,077","1,057",1.9,144.16,7.5
Murdochville,V,Que.,643,651,-1.2,60.84,10.6
Petite-Vallée,MÉ,Que.,157,170,-7.6,39.9,3.9
Rivière-Saint-Jean,NO,Que.,0,0,...,"1,748.14",0
Colombier,MÉ,Que.,635,685,-7.3,361.23,1.8
Essipit,IRI,Que.,310,297,4.4,1.13,274.5
Forestville,V,Que.,"2,892","3,081",-6.1,192.61,15
Lac-au-Brochet,NO,Que.,0,5,-100,"9,360.33",0
Les Bergeronnes,MÉ,Que.,619,661,-6.4,268.77,2.3
Les Escoumins,MÉ,Que.,"1,794","1,891",-5.1,265.89,6.7
Longue-Rive,MÉ,Que.,918,"1,026",-10.5,308.06,3
Portneuf-sur-Mer 2,MÉ,Que.,612,641,-4.5,181.9,3.4
Sacré-Coeur,MÉ,Que.,"1,684","1,803",-6.6,303.15,5.6
Tadoussac,VL,Que.,814,799,1.9,52.73,15.4
Cap-Chat,V,Que.,"2,516","2,476",1.6,181.31,13.9
Coulée-des-Adolphe,NO,Que.,0,0,...,86.2,0
La Martre,MÉ,Que.,194,243,-20.2,175.23,1.1
Marsoui,VL,Que.,289,275,5.1,181.4,1.6
Mont-Albert,NO,Que.,167,179,-6.7,"3,463.19",0
Mont-Saint-Pierre,VL,Que.,186,155,20,52.07,3.6
Rivière-à-Claude,MÉ,Que.,141,128,10.2,155.95,0.9
Saint-Maxime-du-Mont-Louis,MÉ,Que.,"1,047","1,134",-7.7,232.67,4.5
Sainte-Anne-des-Monts,V,Que.,"6,121","6,437",-4.9,263.51,23.2
Sainte-Madeleine-de-la-Rivière-Madeleine,MÉ,Que.,289,289,0,262.35,1.1
Granby,V,Que.,"69,025","66,222",4.2,152.69,452.1
Roxton Pond,MÉ,Que.,"4,224","3,809",10.9,97.64,43.3
Saint-Alphonse-de-Granby,MÉ,Que.,"3,341","3,094",8,50.12,66.7
Saint-Joachim-de-Shefford,MÉ,Que.,"1,476","1,301",13.5,126.91,11.6
Sainte-Cécile-de-Milton,MÉ,Que.,"2,195","2,160",1.6,72.96,30.1
Shefford,CT,Que.,"7,253","6,947",4.4,117.99,61.5
Warden,VL,Que.,362,363,-0.3,5.46,66.3
Waterloo,V,Que.,"4,920","4,410",11.6,12.23,402.2
Fossambault-sur-le-Lac,V,Que.,"2,327","1,960",18.7,11.49,202.6
Lac-Beauport,MÉ,Que.,"8,164","7,801",4.7,61.73,132.2
Lac-Croche,NO,Que.,0,0,...,"1,679.99",0
Lac-Delage,V,Que.,771,638,20.8,1.58,486.9
Lac-Saint-Joseph,V,Que.,304,260,16.9,33.65,9
Saint-Gabriel-de-Valcartier,MÉ,Que.,"3,223","3,382",-4.7,432.62,7.5
Sainte-Brigitte-de-Laval,V,Que.,"8,468","7,348",15.2,108.42,78.1
Sainte-Catherine-de-la-Jacques-Cartier,V,Que.,"8,442","7,706",9.6,120.7,69.9
Shannon,V,Que.,"6,432","6,031",6.6,63.54,101.2
Stoneham-et-Tewkesbury,CU,Que.,"9,682","8,359",15.8,670.03,14.5
Baie-des-Sables,MÉ,Que.,613,628,-2.4,65.07,9.4
Grosses-Roches 2,MÉ,Que.,375,394,-4.8,63.59,5.9
Les Méchins,MÉ,Que.,995,987,0.8,441.39,2.3
Matane,V,Que.,"13,987","14,311",-2.3,195.49,71.5
Rivière-Bonjour 6,NO,Que.,16,0,...,"1,682.50",0
Saint-Adelme 2,PE,Que.,484,520,-6.9,100.58,4.8
Saint-Jean-de-Cherbourg 2,PE,Que.,163,165,-1.2,113.96,1.4
Saint-Léandre,PE,Que.,375,400,-6.3,104.72,3.6
Saint-René-de-Matane 2,MÉ,Que.,961,991,-3,253.89,3.8
Saint-Ulric,MÉ,Que.,"1,567","1,585",-1.1,120.45,13
Sainte-Félicité 2,MÉ,Que.,"1,100","1,087",1.2,90.73,12.1
Sainte-Paule,MÉ,Que.,247,233,6,83.36,3
Albertville,MÉ,Que.,239,226,5.8,103.13,2.3
Amqui,V,Que.,"5,999","6,178",-2.9,121.02,49.6
Causapscal,V,Que.,"2,147","2,304",-6.8,161.61,13.3
Lac-Alfred,NO,Que.,0,0,...,77.53,0
Lac-Casault 6,NO,Que.,30,0,...,"1,428.21",0
Lac-Matapédia 2,NO,Que.,10,5,100,71.01,0.1
Lac-au-Saumon,MÉ,Que.,"1,488","1,450",2.6,81.05,18.4
Rivière-Patapédia-Est,NO,Que.,0,0,...,15.85,0
Rivière-Vaseuse,NO,Que.,0,0,...,275.3,0
Routhierville,NO,Que.,20,18,11.1,626.26,0
Ruisseau-des-Mineurs 4,NO,Que.,5,0,...,935.95,0
Saint-Alexandre-des-Lacs 2,PE,Que.,298,268,11.2,89.82,3.3
Saint-Cléophas,PE,Que.,321,333,-3.6,97.22,3.3
Saint-Damase 2,PE,Que.,382,356,7.3,116.42,3.3
Saint-Léon-le-Grand,PE,Que.,968,953,1.6,128.26,7.5
Saint-Moïse,PE,Que.,542,580,-6.6,109.8,4.9
Saint-Noël,VL,Que.,392,398,-1.5,45.8,8.6
Saint-Tharcisius 2,PE,Que.,411,421,-2.4,78.84,5.2
Saint-Vianney,MÉ,Que.,446,441,1.1,145.6,3.1
Saint-Zénon-du-Lac-Humqui,PE,Que.,370,359,3.1,113.09,3.3
Sainte-Florence,MÉ,Que.,367,384,-4.4,103.48,3.5
Sainte-Irène,PE,Que.,369,327,12.8,135.09,2.7
Sainte-Marguerite-Marie,MÉ,Que.,183,166,10.2,85.97,2.1
Sayabec 2,MÉ,Que.,"1,706","1,831",-6.8,130.31,13.1
Val-Brillant,MÉ,Que.,899,927,-3,77.9,11.5
Grand-Métis 2,MÉ,Que.,218,213,2.3,25.12,8.7
La Rédemption,PE,Que.,384,432,-11.1,116.63,3.3
Lac-des-Eaux-Mortes,NO,Que.,47,0,...,923.26,0.1
Lac-à-la-Croix,NO,Que.,0,0,...,223.35,0
Les Hauteurs,MÉ,Que.,485,504,-3.8,102.92,4.7
Mont-Joli,V,Que.,"6,384","6,281",1.6,24.24,263.3
Métis-sur-Mer 2,V,Que.,594,572,3.8,48.22,12.3
Padoue,MÉ,Que.,250,245,2,66.66,3.8
Price,VL,Que.,"1,729","1,759",-1.7,2.51,688.8
Saint-Charles-Garnier,PE,Que.,222,240,-7.5,84.79,2.6
Saint-Donat,PE,Que.,835,876,-4.7,95.8,8.7
Saint-Gabriel-de-Rimouski,MÉ,Que.,"1,177","1,167",0.9,126.98,9.3
Saint-Joseph-de-Lepage,PE,Que.,590,523,12.8,30.98,19
Saint-Octave-de-Métis,PE,Que.,493,511,-3.5,75.16,6.6
Sainte-Angèle-de-Mérici,MÉ,Que.,989,953,3.8,107.78,9.2
Sainte-Flavie,PE,Que.,904,884,2.3,38.23,23.6
Sainte-Jeanne-d'Arc,PE,Que.,217,280,-22.5,110.34,2
Sainte-Luce,MÉ,Que.,"2,845","2,801",1.6,72.59,39.2
Frampton 2,MÉ,Que.,"1,309","1,297",0.9,151.27,8.7
Saint-Bernard,MÉ,Que.,"2,535","2,321",9.2,90.1,28.1
Saint-Elzéar,MÉ,Que.,"2,623","2,400",9.3,87.07,30.1
Saint-Isidore,MÉ,Que.,"3,286","2,880",14.1,102.61,32
Saint-Lambert-de-Lauzon,MÉ,Que.,"6,817","6,647",2.6,106.76,63.9
Sainte-Hénédine,PE,Que.,"1,440","1,271",13.3,51.53,27.9
Sainte-Marguerite,PE,Que.,"1,175","1,078",9,83.05,14.1
Sainte-Marie,V,Que.,"13,134","13,565",-3.2,107.55,122.1
Saints-Anges,PE,Que.,"1,239","1,157",7.1,68.65,18
Scott,MÉ,Que.,"2,566","2,352",9.1,31.29,82
Vallée-Jonction 3,MÉ,Que.,"1,864","1,875",-0.6,25.45,73.2
Prévost,V,Que.,"13,692","13,002",5.3,34.29,399.3
Saint-Colomban,V,Que.,"17,740","16,019",10.7,92.71,191.4
Saint-Hippolyte,MÉ,Que.,"10,669","9,113",17.1,119.5,89.3
Saint-Jérôme,V,Que.,"80,213","74,346",7.9,90.18,889.5
Sainte-Sophie,MÉ,Que.,"18,080","15,690",15.2,111.2,162.6
Communauté de Wemotaci,IRI,Que.,"1,142","1,213",-5.9,31.55,36.2
La Bostonnais,MÉ,Que.,556,635,-12.4,284.32,2
La Tuque,V,Que.,"11,129","11,001",1.2,"24,809.40",0.4
Lac-Édouard,MÉ,Que.,220,191,15.2,898.32,0.2
Obedjiwan 28,IRI,Que.,"1,991","2,019",-1.4,8.26,241.1
Belcourt,MÉ,Que.,219,225,-2.7,409.74,0.5
Kitcisakik,S-É,Que.,257,274,-6.2,1.51,170.2
Lac Simon,IRI,Que.,"1,285","1,380",-6.9,3.14,409.2
Lac-Granet,NO,Que.,0,0,...,217.77,0
Lac-Metei,NO,Que.,0,0,...,72.12,0
Malartic,V,Que.,"3,355","3,377",-0.7,147.45,22.8
Matchi-Manitou,NO,Que.,0,0,...,164.77,0
Rivière-Héva,MÉ,Que.,"1,495","1,419",5.4,423.27,3.5
Réservoir-Dozois,NO,Que.,0,0,...,"3,832.68",0
Senneterre,V,Que.,"2,782","2,868",-3,"14,718.51",0.2
Senneterre,PE,Que.,"1,202","1,192",0.8,567.05,2.1
Val-d'Or,V,Que.,"32,752","32,491",0.8,"3,536.84",9.3
Aumond,CT,Que.,754,754,0,212.82,3.5
Blue Sea,MÉ,Que.,696,639,8.9,72.97,9.5
Bois-Franc,MÉ,Que.,411,421,-2.4,71.56,5.7
Bouchette,MÉ,Que.,695,731,-4.9,122.09,5.7
Cascades-Malignes,NO,Que.,0,0,...,480.88,0
Cayamant,MÉ,Que.,895,821,9,382.49,2.3
Denholm,MÉ,Que.,546,505,8.1,177.33,3.1
Déléage,MÉ,Que.,"1,916","1,852",3.5,248.26,7.7
Dépôt-Échouani,NO,Que.,0,0,...,308.12,0
Egan-Sud,MÉ,Que.,508,504,0.8,49.82,10.2
Gracefield,V,Que.,"2,376","2,462",-3.5,380.94,6.2
Grand-Remous,MÉ,Que.,"1,159","1,161",-0.2,351.63,3.3
Kazabazua,MÉ,Que.,"1,037",945,9.7,172.91,6
Kitigan Zibi 3,IRI,Que.,"1,204","1,231",-2.2,195.06,6.2
Lac-Lenôtre,NO,Que.,0,0,...,"1,934.31",0
Lac-Moselle,NO,Que.,0,0,...,"1,144.81",0
Lac-Pythonga,NO,Que.,0,0,...,"5,061.54",0
Lac-Rapide 5,IRI,Que.,..,..,..,0.36,..
Lac-Sainte-Marie,MÉ,Que.,677,566,19.6,205.71,3.3
Low,CT,Que.,"1,020",982,3.9,257.78,4
Maniwaki 3,V,Que.,"3,757","3,843",-2.2,5.67,662.8
Messines,MÉ,Que.,"1,655","1,609",2.9,110.11,15
Montcerf-Lytton,MÉ,Que.,653,636,2.7,354.64,1.8
Sainte-Thérèse-de-la-Gatineau,MÉ,Que.,588,520,13.1,60.68,9.7
Beloeil,V,Que.,"24,104","22,458",7.3,24.38,988.8
Carignan,V,Que.,"11,740","9,462",24.1,62.07,189.1
Chambly,V,Que.,"31,444","29,120",8,25.08,"1,253.70"
McMasterville,MÉ,Que.,"5,936","5,698",4.2,3.12,"1,904.00"
Mont-Saint-Hilaire,V,Que.,"18,859","18,585",1.5,44.08,427.8
Otterburn Park,V,Que.,"8,479","8,421",0.7,5.37,"1,578.20"
Saint-Antoine-sur-Richelieu,MÉ,Que.,"1,738","1,694",2.6,65.67,26.5
Saint-Basile-le-Grand,V,Que.,"17,053","17,059",0,35.84,475.8
Saint-Charles-sur-Richelieu,MÉ,Que.,"1,735","1,717",1,64.91,26.7
Saint-Denis-sur-Richelieu,MÉ,Que.,"2,339","2,308",1.3,84.64,27.6
Saint-Jean-Baptiste,MÉ,Que.,"3,179","3,107",2.3,72.36,43.9
Saint-Marc-sur-Richelieu,MÉ,Que.,"2,245","2,172",3.4,60.92,36.9
Saint-Mathieu-de-Beloeil,MÉ,Que.,"2,952","2,619",12.7,39.39,74.9
Alma 3,V,Que.,"30,331","30,771",-1.4,194.92,155.6
Belle-Rivière 2,NO,Que.,10,0,...,608.47,0
Desbiens,V,Que.,995,"1,028",-3.2,10.39,95.7
Hébertville 2,MÉ,Que.,"2,500","2,542",-1.7,260.74,9.6
Hébertville-Station,VL,Que.,"1,229","1,311",-6.3,31.5,39
L'Ascension-de-Notre-Seigneur,PE,Que.,"2,079","1,987",4.6,130.84,15.9
Labrecque,MÉ,Que.,"1,328","1,321",0.5,152.67,8.7
Lac-Achouakan,NO,Que.,0,0,...,225.49,0
Lac-Moncouche,NO,Que.,0,0,...,262.78,0
Lamarche,MÉ,Que.,476,514,-7.4,81.45,5.8
Mont-Apica,NO,Que.,0,0,...,13.02,0
Métabetchouan--Lac-à-la-Croix,V,Que.,"4,121","3,985",3.4,187.49,22
Saint-Bruno,MÉ,Que.,"2,902","2,801",3.6,77.86,37.3
Saint-Gédéon,MÉ,Que.,"2,177","2,085",4.4,63.38,34.3
Saint-Henri-de-Taillon 3,MÉ,Que.,803,826,-2.8,61.74,13
Saint-Ludger-de-Milot,MÉ,Que.,637,651,-2.2,107.46,5.9
Saint-Nazaire,MÉ,Que.,"2,029","2,073",-2.1,144.76,14
Sainte-Monique,MÉ,Que.,858,846,1.4,152.53,5.6
Laval,V,Que.,"438,366","422,993",3.6,246.13,"1,781.00"
Chambord,MÉ,Que.,"1,748","1,765",-1,120.85,14.5
La Doré,PE,Que.,"1,359","1,365",-0.4,288.55,4.7
Lac-Ashuapmushuan,NO,Que.,140,36,288.9,"14,684.28",0
Lac-Bouchette,MÉ,Que.,"1,183","1,196",-1.1,904.26,1.3
Mashteuiatsh,IRI,Que.,"2,010","1,957",2.7,14.43,139.3
Roberval,V,Que.,"9,840","10,046",-2.1,151.36,65
Saint-André-du-Lac-Saint-Jean,VL,Que.,453,467,-3,145.43,3.1
Saint-François-de-Sales,MÉ,Que.,643,616,4.4,197.2,3.3
Saint-Félicien,V,Que.,"10,089","10,238",-1.5,361.27,27.9
Saint-Prime,MÉ,Que.,"2,760","2,753",0.3,147.16,18.8
Sainte-Hedwidge,MÉ,Que.,870,846,2.8,461.67,1.9
