Population and dwelling counts: Canada and census subdivisions (municipalities) 1,,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0002-01,,,,,,,
Release date: 2022-02-09,,,,,,,
"Geography: Canada, Province or territory, Census division, Census subdivision",,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,
Variable List: Population and dwelling counts (13),,,,,,,
,,,,,,,
,,Population and dwelling counts (13),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Geographic name,Geographic area type abbreviation,Province or territory abbreviation,"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
"Division No.  1, Subd. H",SNO,N.L.,328,390,-15.9,57.2,5.7
"Division No.  1, Subd. I",SNO,N.L.,320,299,7,64.11,5
"Division No.  1, Subd. J",SNO,N.L.,0,0,...,0.45,0
"Division No.  1, Subd. K",SNO,N.L.,35,28,25,37.13,0.9
"Division No.  1, Subd. L",SNO,N.L.,874,928,-5.8,8.1,107.9
"Division No.  1, Subd. M",SNO,N.L.,"1,145","1,073",6.7,139.98,8.2
"Division No.  1, Subd. N",SNO,N.L.,356,372,-4.3,12.85,27.7
"Division No.  1, Subd. O",SNO,N.L.,829,663,25,78.38,10.6
"Division No.  1, Subd. R",SNO,N.L.,264,322,-18,16.82,15.7
"Division No.  1, Subd. U",SNO,N.L.,"1,373","1,625",-15.5,742.38,1.8
"Division No.  1, Subd. V",SNO,N.L.,55,36,52.8,870.89,0.1
"Division No.  1, Subd. W",SNO,N.L.,469,435,7.8,821.97,0.6
"Division No.  1, Subd. X",SNO,N.L.,541,513,5.5,567.62,1
"Division No.  1, Subd. Y",SNO,N.L.,"1,211","1,118",8.3,190.76,6.3
Fermeuse,T,N.L.,266,325,-18.2,38.33,6.9
Ferryland,T,N.L.,371,414,-10.4,13.22,28.1
Flatrock,T,N.L.,"1,722","1,683",2.3,18.1,95.1
Fox Harbour,T,N.L.,226,252,-10.3,19.81,11.4
Gaskiers-Point La Haye,T,N.L.,189,232,-18.5,23.29,8.1
Hant's Harbour,T,N.L.,318,329,-3.3,31.86,10
Harbour Grace,T,N.L.,"2,796","2,995",-6.6,33.71,82.9
Harbour Main-Chapel's Cove-Lakeview,T,N.L.,"1,065","1,067",-0.2,21.19,50.3
Heart's Content,T,N.L.,330,340,-2.9,62.87,5.2
Heart's Delight-Islington,T,N.L.,646,674,-4.2,26.95,24
Heart's Desire,T,N.L.,184,213,-13.6,17.02,10.8
Holyrood,T,N.L.,"2,471","2,463",0.3,126.02,19.6
Logy Bay-Middle Cove-Outer Cove,T,N.L.,"2,364","2,221",6.4,16.99,139.1
Long Harbour-Mount Arlington Heights 2,T,N.L.,185,250,-26,18.33,10.1
Mount Carmel-Mitchells Brook-St. Catherine's,T,N.L.,382,349,9.5,60.76,6.3
Mount Pearl 2,CY,N.L.,"22,477","23,120",-2.8,15.65,"1,436.20"
New Perlican,T,N.L.,200,186,7.5,24.45,8.2
Norman's Cove-Long Cove,T,N.L.,647,666,-2.9,20.15,32.1
North River,T,N.L.,579,570,1.6,4.2,137.7
Old Perlican,T,N.L.,608,633,-3.9,14.14,43
Paradise,T,N.L.,"22,957","21,389",7.3,29.67,773.8
Petty Harbour-Maddox Cove,T,N.L.,947,960,-1.4,4.4,215.3
Placentia,T,N.L.,"3,289","3,496",-5.9,57.8,56.9
Point Lance,T,N.L.,87,102,-14.7,28.29,3.1
Port Kirwan,T,N.L.,49,52,-5.8,8.84,5.5
Portugal Cove South,T,N.L.,86,150,-42.7,1.08,79.9
Portugal Cove-St. Philip's,T,N.L.,"8,415","8,147",3.3,57.61,146.1
Pouch Cove,T,N.L.,"2,063","2,069",-0.3,58.24,35.4
Renews-Cappahayden,T,N.L.,280,301,-7,125.93,2.2
Riverhead,T,N.L.,165,185,-10.8,101.84,1.6
Salmon Cove,T,N.L.,764,680,12.4,4.21,181.6
Small Point-Adam's Cove-Blackhead-Broad Cove,T,N.L.,414,387,7,23.12,17.9
South River,T,N.L.,674,647,4.2,5.97,113
Southern Harbour 2,T,N.L.,313,395,-20.8,5.39,58.1
Spaniard's Bay,T,N.L.,"2,630","2,653",-0.9,66.09,39.8
St. Bride's,T,N.L.,318,252,26.2,5.38,59.1
St. John's,CY,N.L.,"110,525","108,860",1.5,446.02,247.8
St. Joseph's,T,N.L.,86,115,-25.2,29.22,2.9
St. Mary's,T,N.L.,313,347,-9.8,36.41,8.6
St. Shott's,T,N.L.,55,66,-16.7,1.07,51.3
St. Vincent's-St. Stephen's-Peter's River,T,N.L.,263,313,-16,86.62,3
Sunnyside,T,N.L.,407,396,2.8,39.02,10.4
Torbay,T,N.L.,"7,852","7,899",-0.6,34.89,225
Trepassey,T,N.L.,405,481,-15.8,54.21,7.5
Upper Island Cove,T,N.L.,"1,401","1,561",-10.2,7.82,179.2
Victoria,T,N.L.,"1,658","1,800",-7.9,17.96,92.3
Wabana,T,N.L.,"1,815","2,146",-15.4,14.49,125.3
Whitbourne,T,N.L.,955,890,7.3,21.51,44.4
Whiteway,T,N.L.,351,373,-5.9,22.53,15.6
Winterton,T,N.L.,436,450,-3.1,10.61,41.1
Witless Bay,T,N.L.,"1,640","1,619",1.3,17.61,93.1
Baine Harbour,T,N.L.,126,124,1.6,4.15,30.4
Bay L'Argent,T,N.L.,234,241,-2.9,3.74,62.6
Burin,T,N.L.,"2,237","2,315",-3.4,34.49,64.9
"Division No.  2, Subd. C",SNO,N.L.,538,566,-4.9,"1,463.65",0.4
"Division No.  2, Subd. D",SNO,N.L.,204,226,-9.7,33.17,6.2
"Division No.  2, Subd. E",SNO,N.L.,251,246,2,136.58,1.8
"Division No.  2, Subd. F",SNO,N.L.,99,117,-15.4,198.89,0.5
"Division No.  2, Subd. G",SNO,N.L.,25,10,150,366.98,0.1
"Division No.  2, Subd. H",SNO,N.L.,196,178,10.1,269.35,0.7
"Division No.  2, Subd. I",SNO,N.L.,123,136,-9.6,491.98,0.3
"Division No.  2, Subd. J",SNO,N.L.,0,0,...,267.48,0
"Division No.  2, Subd. K",SNO,N.L.,502,558,-10,"1,027.96",0.5
"Division No.  2, Subd. L",SNO,N.L.,32,0,...,873.62,0
English Harbour East,T,N.L.,117,139,-15.8,2.81,41.7
Fortune,T,N.L.,"1,285","1,401",-8.3,54.77,23.5
Fox Cove-Mortier,T,N.L.,252,295,-14.6,25.39,9.9
Frenchman's Cove,T,N.L.,159,169,-5.9,69.07,2.3
Garnish,T,N.L.,542,568,-4.6,39.1,13.9
Grand Bank,T,N.L.,"2,152","2,310",-6.8,16.82,127.9
Grand Le Pierre,T,N.L.,176,235,-25.1,142.81,1.2
Lamaline,T,N.L.,218,267,-18.4,79.75,2.7
Lawn,T,N.L.,583,624,-6.6,3.52,165.7
Lewin's Cove,T,N.L.,546,544,0.4,6.33,86.3
Little Bay East,T,N.L.,84,127,-33.9,1.56,53.8
Lord's Cove,T,N.L.,155,162,-4.3,29.91,5.2
Marystown,T,N.L.,"5,204","5,316",-2.1,62.23,83.6
Parkers Cove,T,N.L.,233,248,-6,4.77,48.8
Point May,T,N.L.,254,231,10,63.25,4
Point au Gaul,T,N.L.,67,88,-23.9,3.89,17.2
Red Harbour,T,N.L.,177,189,-6.3,11.19,15.8
Rushoon,T,N.L.,229,245,-6.5,5.89,38.9
St. Bernard's-Jacques Fontaine,T,N.L.,433,433,0,16.08,26.9
St. Lawrence,T,N.L.,"1,115","1,192",-6.5,34.86,32
Terrenceville,T,N.L.,446,482,-7.5,15.12,29.5
Winterland,T,N.L.,398,390,2.1,54.44,7.3
Belleoram,T,N.L.,348,374,-7,2.2,158.4
Burgeo,T,N.L.,"1,176","1,307",-10,29.51,39.9
Burnt Islands,T,N.L.,540,622,-13.2,9.48,57
Channel-Port aux Basques,T,N.L.,"3,547","4,067",-12.8,38.84,91.3
"Division No.  3, Subd. A",SNO,N.L.,45,24,87.5,"2,940.14",0
"Division No.  3, Subd. B",SNO,N.L.,0,0,...,253.36,0
"Division No.  3, Subd. C",SNO,N.L.,146,0,...,711.65,0.2
"Division No.  3, Subd. D",SNO,N.L.,188,262,-28.2,"6,611.07",0
"Division No.  3, Subd. E",SNO,N.L.,74,89,-16.9,"2,468.10",0
"Division No.  3, Subd. F",SNO,N.L.,115,119,-3.4,"2,548.59",0
"Division No.  3, Subd. H",SNO,N.L.,562,707,-20.5,665.06,0.8
"Division No.  3, Subd. I",SNO,N.L.,61,87,-29.9,"2,121.16",0
"Division No.  3, Subd. J",SNO,N.L.,38,51,-25.5,646.31,0.1
Gaultois,T,N.L.,100,136,-26.5,4.23,23.7
Harbour Breton,T,N.L.,"1,477","1,634",-9.6,13.82,106.9
Hermitage-Sandyville,T,N.L.,404,422,-4.3,29.14,13.9
Isle aux Morts,T,N.L.,559,664,-15.8,7.75,72.1
Milltown-Head of Bay d'Espoir,T,N.L.,669,749,-10.7,24.95,26.8
Morrisville,T,N.L.,93,101,-7.9,14.09,6.6
Pool's Cove,T,N.L.,143,193,-25.9,2.65,54.1
Ramea,T,N.L.,388,447,-13.2,1.86,208.9
Rencontre East,T,N.L.,115,139,-17.3,2.56,44.9
Rose Blanche-Harbour le Cou,T,N.L.,344,394,-12.7,4.49,76.7
Samiajij Miawpukek,IRI,N.L.,953,956,-0.3,16.7,57.1
Seal Cove (Fortune Bay),T,N.L.,100,242,-58.7,2.03,49.3
St. Alban's,T,N.L.,"1,189","1,186",0.3,20.48,58
St. Jacques-Coomb's Cove,T,N.L.,546,588,-7.1,81.89,6.7
Cape St. George,T,N.L.,809,853,-5.2,34.47,23.5
"Division No.  4, Subd. A 2",SNO,N.L.,"1,530","1,743",-12.2,"1,204.46",1.3
"Division No.  4, Subd. B",SNO,N.L.,"1,140","1,174",-2.9,"1,809.34",0.6
"Division No.  4, Subd. C",SNO,N.L.,591,747,-20.9,"2,365.45",0.2
"Division No.  4, Subd. D",SNO,N.L.,"1,212",860,40.9,"1,148.81",1.1
"Division No.  4, Subd. E",SNO,N.L.,"1,467","1,957",-25,295.42,5
Gallants,T,N.L.,50,50,0,6.33,7.9
Kippens,T,N.L.,"1,842","2,008",-8.3,14.24,129.4
Lourdes,T,N.L.,502,465,8,7.39,68
Port au Port East,T,N.L.,413,579,-28.7,25.06,16.5
Port au Port West-Aguathuna-Felix Cove,T,N.L.,384,449,-14.5,16.97,22.6
St. George's,T,N.L.,"1,139","1,203",-5.3,25.71,44.3
Stephenville,T,N.L.,"6,540","6,623",-1.3,35.27,185.4
Stephenville Crossing,T,N.L.,"1,634","1,719",-4.9,31.07,52.6
Cormack,T,N.L.,492,597,-17.6,133.65,3.7
Corner Brook,CY,N.L.,"19,333","19,806",-2.4,147.88,130.7
Cox's Cove,T,N.L.,664,688,-3.5,7.23,91.8
Deer Lake,T,N.L.,"4,864","5,249",-7.3,73.26,66.4
"Division No.  5, Subd. A",SNO,N.L.,291,276,5.4,"2,412.93",0.1
"Division No.  5, Subd. C",SNO,N.L.,285,276,3.3,483.5,0.6
"Division No.  5, Subd. D",SNO,N.L.,30,34,-11.8,"1,320.15",0
"Division No.  5, Subd. E",SNO,N.L.,188,216,-13,"1,167.50",0.2
"Division No.  5, Subd. F",SNO,N.L.,746,823,-9.4,823.72,0.9
"Division No.  5, Subd. G",SNO,N.L.,414,468,-11.5,"3,409.22",0.1
Gillams,T,N.L.,506,410,23.4,6.72,75.3
Hampden,T,N.L.,439,429,2.3,32.99,13.3
Howley,T,N.L.,179,205,-12.7,19.91,9
Hughes Brook,T,N.L.,236,255,-7.5,1.56,151.3
Humber Arm South,T,N.L.,"1,537","1,599",-3.9,65.14,23.6
Irishtown-Summerside,T,N.L.,"1,260","1,418",-11.1,11.88,106
Jackson's Arm,T,N.L.,277,284,-2.5,7.07,39.2
Lark Harbour,T,N.L.,508,522,-2.7,12.94,39.3
Massey Drive,T,N.L.,"1,606","1,632",-1.6,2.45,655.1
McIvers,T,N.L.,575,538,6.9,11.97,48
Meadows,T,N.L.,404,626,-35.5,3.82,105.7
Mount Moriah,T,N.L.,700,746,-6.2,15.71,44.6
Pasadena,T,N.L.,"3,524","3,620",-2.7,49.17,71.7
Reidville,T,N.L.,550,509,8.1,58.28,9.4
Steady Brook,T,N.L.,416,444,-6.3,1.24,335.2
York Harbour,T,N.L.,372,344,8.1,13.88,26.8
Appleton,T,N.L.,620,574,8,6.33,98
Badger,T,N.L.,682,704,-3.1,1.89,361.6
Bishop's Falls,T,N.L.,"3,082","3,156",-2.3,26.38,116.8
Botwood,T,N.L.,"2,778","2,875",-3.4,14.56,190.8
